"","year","position","title","artist","pos_sentiment","neg_sentiment","neut_sentiment","compound_sentiment","f_k_grade","flesch_index","fog_index","num_syllables","difficult_words","num_dupes","num_words","num_lines","genre_tags","id","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","hit"
"1800",1972,27,"A Horse With No Name","America",0.073,0.125,0.802,-0.91,1.7,97.2,5.2,337.5,14,21,291,34,"","54eZmuggBFJbV7k248bTTt",252240,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,4,1
"1801",1972,32,"Nights In White Satin","Moody Blues",0.423,0.034,0.542,0.9982,0.9,99.23,4.4,207,13,19,167,27,"","6L5BZEcZmD6RBJnimzlyKr",269107,0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71,4,1
"1802",1972,36,"Down By The Lazy River","Osmonds",0.076,0.133,0.791,-0.8834,0.9,99.23,4.4,291.6,17,16,240,35,"","49ZAeWd40u4py51DpjEY8p",163093,0.6,0.909,1,-5.154,0,0.0742,0.433,0,0.337,0.94,141.678,4,1
"1803",1972,40,"Rocket Man","Elton John",0,0.14,0.86,-0.989,0.1,106.67,4.8,391.5,11,36,348,46,"pop, rock","3gdewACMIVMEWVbyb8O9sY",281613,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,4,1
"1804",1972,45,"The City Of New Orleans","Arlo Guthrie",0.052,0.043,0.904,0.4404,1.7,97.2,5.2,380.7,47,14,312,36,"folk","0P6TTXbSLGrSoTNMz5kvB7",274507,0.616,0.577,1,-8.834,1,0.0407,0.535,0,0.0808,0.592,145.863,4,1
"1805",1972,48,"Burning Love","Elvis Presley",0.354,0.024,0.622,0.9989,1.3,98.21,4.8,315.9,20,16,264,35,"blues, country, pop, rock","7zMUCLm1TN9o9JlLISztxO",170293,0.66,0.748,2,-11.206,1,0.0284,0.0993,0.00585,0.283,0.972,143.549,4,1
"1806",1972,49,"Clean Up Woman","Betty Wright",0.298,0.058,0.643,0.9961,0.5,105.66,5.2,244.8,13,3,218,25,"disco, soul","6uqTETWok9npbL4c9cuLVh",169533,0.865,0.652,5,-9.046,1,0.143,0.566,0.000919,0.0833,0.829,90.081,4,1
"1807",1972,53,"In The Rain","Dramatics",0.008,0.131,0.861,-0.9739,0.9,99.23,4.4,296.1,11,20,257,38,"pop, soul","6aKFAhG7hCy71wLDMKjP5G",209213,0.421,0.514,8,-9.52,0,0.049,0.591,8.97e-05,0.337,0.564,145.653,4,1
"1808",1972,56,"Bang A Gong","T. Rex",0.218,0.076,0.706,0.9909,0.1,106.67,4.8,330.3,8,23,302,38,"rock","6FsQrRpBLgsrFeAeiQqytm",267000,0.729,0.818,2,-9.992,1,0.0732,0.157,0.284,0.195,0.906,125.814,4,1
"1809",1972,57,"Mother And Child Reunion","Paul Simon",0.075,0.122,0.803,-0.7029,1.7,91.78,4,253.8,10,19,202,34,"classical/soundtrack, folk, pop, rock","5vZ1BKMSLgrxxPYGMR904n",187400,0.712,0.632,9,-7.704,1,0.0334,0.112,0,0.0648,0.764,119.931,4,1
