"title","year","position","artist","pos_sentiment","neg_sentiment","neut_sentiment","compound_sentiment","f_k_grade","flesch_index","fog_index","num_syllables","difficult_words","num_dupes","num_words","num_lines","tags","id","popularity","duration_ms","explicit","artists","id_artists","release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"Carry Out",2010,38,"Timbaland",0.104,0.017,0.879,0.9942,1.7,97.2,5.2,799.2,31,53,682,78,"pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Causing A Commotion",1987,46,"Madonna",0.079,0.07,0.85,0.0772,6,69.79,6,46.8,9,0,32,3,"electronic/dance, electronic/dance, pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Check on It",2006,10,"Beyonce",0.117,0.036,0.847,0.9973,0.9,104.64,5.6,901.8,25,65,845,89,"pop, hip-hop/rnb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cheers",2011,77,"Rihanna",0.316,0.083,0.601,0.9978,0.5,105.66,5.2,469.8,25,36,412,50,"electronic/dance, pop, reggae, hip-hop/rnb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cleanin' out my Closet",2002,47,"Eminem",0.063,0.228,0.708,-0.9993,2.1,96.18,5.6,902.7,99,32,730,76,"hip-hop/rnb, religious, alternative/indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Closer To Free",1996,67,"Bodeans",0.411,0,0.589,0.9964,6,64.37,4.8,196.2,6,7,119,17,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cold Rock A Party",1997,61,"Mc Lyte",0.133,0.058,0.809,0.9946,1.7,102.61,6.4,648,54,12,568,49,"hip-hop/rnb, hip-hop/rnb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Come On Over Baby",2000,38,"Christina Aguilera",0.169,0.029,0.803,0.9952,0.5,100.24,4,557.1,25,49,464,85,"pop, rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coming Out Of The Dark",1991,34,"Gloria Estefan",0.206,0.023,0.771,0.9947,1.7,97.2,5.2,314.1,20,16,272,34,"electronic/dance, pop, rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cool For The Summer",2015,53,"Demi Lovato",0.175,0.045,0.779,0.9911,0.5,100.24,4,409.5,17,47,340,59,"pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crash And Burn",2000,78,"Savage Garden",0.098,0.128,0.774,-0.6557,0.1,106.67,4.8,280.8,12,15,248,33,"pop, rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cry For Help",1991,70,"Rick Astley",0.289,0.139,0.572,0.9948,-2.2,118.18,3.6,334.8,11,40,324,71,"pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Damn!",2004,68,"YoungBloodZ",0.138,0.099,0.763,0.9695,1.3,103.63,6,704.7,63,10,641,63,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Damn!",2003,46,"YoungBloodZ",0.138,0.099,0.763,0.9695,1.3,103.63,6,704.7,63,10,641,63,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deeper And Deeper",1993,66,"Madonna",0.228,0.039,0.733,0.9987,1.3,98.21,4.8,621.9,19,45,505,70,"electronic/dance, electronic/dance, pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DJ Got Us Fallin' in Love",2010,22,"Usher",0.178,0.046,0.777,0.9969,0.9,99.23,4.4,540,42,26,451,74,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DJ Got Us Fallin' In Love",2011,65,"Usher",0.178,0.046,0.777,0.9969,0.9,99.23,4.4,540,42,26,451,74,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do I Make you Proud",2006,99,"Taylor Hicks",0.187,0.01,0.803,0.9951,0.5,100.24,4,376.2,16,30,314,55,"blues, pop, rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do it to It",2006,56,"Cherish",0.031,0.042,0.927,-0.5859,-1.4,116.15,4.4,680.4,34,53,663,95,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do What U Want",2014,84,"Lady Gaga",0.169,0.063,0.769,0.9706,0.1,106.67,4.8,603.9,29,52,558,79,"electronic/dance, pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doin It",1996,61,"LL Cool J",0.117,0.07,0.813,0.9803,0.1,106.67,4.8,614.7,52,34,580,76,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Don't Forget About Us",2006,50,"Mariah Carey",0.178,0.037,0.785,0.9963,0.9,99.23,4.4,615.6,30,51,518,84,"pop, hip-hop/rnb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Don't Know Much",1990,20,"Linda Ronstadt",0.21,0.022,0.768,0.9897,-0.7,108.7,4,200.7,13,19,182,34,"country, folk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Don't Shed A Tear",1988,83,"Paul Carrack",0.044,0.027,0.929,0.5319,-0.7,108.7,4,229.5,8,29,213,39,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Don't Worry, Be Happy",1988,37,"Bobby McFerrin",0.221,0.216,0.563,-0.8693,8.4,47.45,4.8,591.3,38,59,331,44,"classical/soundtrack, jazz, reggae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Don't You Know What The Night Can Do",1988,88,"Steve Winwood",0.073,0.032,0.896,0.9649,-1.4,116.15,4.4,427.5,14,40,412,60,"pop, rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doo Wop",1999,41,"Lauryn Hill",0.137,0.076,0.787,0.9887,1.3,98.21,4.8,735.3,68,34,617,78,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Down Low",1996,35,"R. Kelly",0.105,0.102,0.792,0.5812,0.9,99.23,4.4,263.7,17,22,229,33,"hip-hop/rnb, pop, hip-hop/rnb, soul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drank In My Cup",2012,78,"Kirko Bangz",0.085,0.076,0.839,-0.7881,0.1,106.67,4.8,613.8,29,28,537,71,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dre Day",1993,53,"Dr. Dre",0.121,0.153,0.726,-0.9948,1.7,97.2,5.2,842.4,85,21,700,83,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drop it Like it's Hot",2004,71,"Snoop Dogg",0.17,0.083,0.746,0.9968,0.1,106.67,4.8,875.7,55,72,788,103,"hip-hop/rnb, reggae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drops Of Jupiter",2001,4,"Train",0.104,0.022,0.874,0.9894,2.1,96.18,5.6,522,29,18,440,48,"alternative/indie, pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drunk In Love",2014,35,"Beyonce",0.19,0.096,0.714,0.9966,1.7,97.2,5.2,684.9,75,32,585,73,"pop, hip-hop/rnb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Earned It",2015,9,"The Weeknd",0.309,0.085,0.606,0.9978,1.7,91.78,4,328.5,14,26,258,44,"hip-hop/rnb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Empire State of Mind",2010,21,"Jay-Z",0.17,0.057,0.773,0.9981,1.3,98.21,4.8,835.2,92,33,670,84,"hip-hop/rnb, religious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Every Day Of The Week",1995,74,"Jade",0.123,0.008,0.869,0.9966,2.1,90.77,4.4,765.9,34,49,570,89,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F**K You",2011,7,"Cee Lo Green",0.222,0.204,0.573,0.811,-0.7,108.7,4,541.8,19,77,512,88,"hip-hop/rnb, pop, hip-hop/rnb, soul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fastlove",1996,62,"George Michael",0.197,0.054,0.749,0.9931,0.9,99.23,4.4,378,32,27,311,46,"pop, rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feel Good Inc",2006,97,"Gorillaz",0.208,0.199,0.593,0.9881,2.1,90.77,4.4,571.5,33,40,430,65,"electronic/dance, hip-hop/rnb, rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feel Good Inc",2005,37,"Gorillaz",0.208,0.199,0.593,0.9881,2.1,90.77,4.4,571.5,33,40,430,65,"electronic/dance, hip-hop/rnb, rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feels Like Tonight",2008,95,"Daughtry",0.144,0.019,0.837,0.9743,2.1,90.77,4.4,284.4,21,16,225,34,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flava In Ya Ear",1994,81,"Craig Mack",0.059,0.075,0.866,-0.9315,1.7,97.2,5.2,842.4,84,9,700,81,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Forget About Dre",2000,73,"Dr. Dre",0.104,0.139,0.757,-0.9925,3.6,92.12,7.2,1111.5,94,37,898,67,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
