,year,position,title,artist,pos_sentiment,neg_sentiment,neut_sentiment,compound_sentiment,f_k_grade,flesch_index,fog_index,num_syllables,difficult_words,num_dupes,num_words,num_lines,tags,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
552,1994,5,Hero,Mariah Carey,0.263,0.109,0.628,0.9943,0.9,99.23,4.4,311.4,16,26,263,42,"pop, hip-hop/rnb",0.501,0.378,4,-9.37,1.0,0.029,0.735,0.0,0.119,0.178,119.987,audio_features,4FCb4CUbFCMNRkI6lYc1zI,spotify:track:4FCb4CUbFCMNRkI6lYc1zI,https://api.spotify.com/v1/tracks/4FCb4CUbFCMNRkI6lYc1zI,https://api.spotify.com/v1/audio-analysis/4FCb4CUbFCMNRkI6lYc1zI,257733.0,4.0
553,1994,6,Stay,Lisa Loeb,0.109,0.134,0.757,-0.8814,1.7,97.2,5.2,325.8,23,11,283,33,,0.612,0.591,1,-7.02,1.0,0.051,0.462,0.0,0.111,0.349,160.659,audio_features,00U1MDChdOTxWwtKoOoBXE,spotify:track:00U1MDChdOTxWwtKoOoBXE,https://api.spotify.com/v1/tracks/00U1MDChdOTxWwtKoOoBXE,https://api.spotify.com/v1/audio-analysis/00U1MDChdOTxWwtKoOoBXE,184333.0,4.0
554,1994,7,Breathe Again,Toni Braxton,0.162,0.085,0.752,0.9418,0.9,99.23,4.4,324.9,21,13,281,41,pop,0.689,0.677,0,-6.36,1.0,0.0326,0.0697,0.0,0.0877,0.259,153.922,audio_features,1xFliXOpcu7E89AsDAZ7JV,spotify:track:1xFliXOpcu7E89AsDAZ7JV,https://api.spotify.com/v1/tracks/1xFliXOpcu7E89AsDAZ7JV,https://api.spotify.com/v1/audio-analysis/1xFliXOpcu7E89AsDAZ7JV,269173.0,4.0
555,1994,8,All For Love,"Bryan Adams, Rod Stewart and Sting",0.115,0.026,0.859,0.9876,-0.3,107.69,4.4,384.3,10,13,338,51,"pop, rock",N,o,n,e,,,,,,,,,,,,,,
556,1994,14,Whatta Man,Salt-N-Pepa,0.195,0.037,0.768,0.9986,0.5,105.66,5.2,803.7,54,37,711,83,,0.757,0.544,5,-10.722,1.0,0.219,0.154,6.07e-05,0.226,0.921,173.208,audio_features,7sJN693sYKEIEMu7fc5VnJ,spotify:track:7sJN693sYKEIEMu7fc5VnJ,https://api.spotify.com/v1/tracks/7sJN693sYKEIEMu7fc5VnJ,https://api.spotify.com/v1/audio-analysis/7sJN693sYKEIEMu7fc5VnJ,308360.0,4.0
557,1994,15,Wild Night,John Mellencamp,0.05,0.039,0.911,0.3818,0.9,99.23,4.4,261.9,13,21,223,36,"pop, rock",0.665,0.888,7,-4.433,1.0,0.0552,0.0695,0.00147,0.104,0.951,144.339,audio_features,6opIwpImZYdxNgG4wpDxED,spotify:track:6opIwpImZYdxNgG4wpDxED,https://api.spotify.com/v1/tracks/6opIwpImZYdxNgG4wpDxED,https://api.spotify.com/v1/audio-analysis/6opIwpImZYdxNgG4wpDxED,207507.0,4.0
558,1994,17,You Mean The World To Me,Toni Braxton,0.156,0.027,0.817,0.9961,1.7,97.2,5.2,618.3,40,12,498,56,pop,0.595,0.735,11,-6.648,1.0,0.047,0.1,9.62e-06,0.104,0.521,167.662,audio_features,1d0GYRpnCb0XNQcQdKhfKL,spotify:track:1d0GYRpnCb0XNQcQdKhfKL,https://api.spotify.com/v1/tracks/1d0GYRpnCb0XNQcQdKhfKL,https://api.spotify.com/v1/audio-analysis/1d0GYRpnCb0XNQcQdKhfKL,296400.0,4.0
559,1994,18,Can You Feel The Love Tonight,Elton John,0.175,0.012,0.814,0.9889,1.7,91.78,4.0,228.6,23,13,181,34,"pop, rock",0.297,0.364,10,-9.261,1.0,0.0305,0.813,0.000761,0.0976,0.149,122.598,audio_features,67HKtdqchK0rmODxsBeWT8,spotify:track:67HKtdqchK0rmODxsBeWT8,https://api.spotify.com/v1/tracks/67HKtdqchK0rmODxsBeWT8,https://api.spotify.com/v1/audio-analysis/67HKtdqchK0rmODxsBeWT8,240000.0,4.0
560,1994,20,Fantastic Voyage,Coolio,0.129,0.089,0.781,0.9552,1.7,97.2,5.2,698.4,47,13,563,68,,0.888,0.584,7,-13.308,1.0,0.112,0.0385,3.19e-06,0.0625,0.762,104.705,audio_features,5vpDsiVqiZLRwKAzQO708k,spotify:track:5vpDsiVqiZLRwKAzQO708k,https://api.spotify.com/v1/tracks/5vpDsiVqiZLRwKAzQO708k,https://api.spotify.com/v1/audio-analysis/5vpDsiVqiZLRwKAzQO708k,334440.0,4.0
561,1994,21,Baby I Love Your Way,Big Mountain,0.275,0.0,0.725,0.9973,2.1,90.77,4.4,290.7,13,19,225,34,,0.651,0.747,1,-7.269,0.0,0.0699,0.0528,0.0,0.207,0.776,147.518,audio_features,1Rvl8qsKJurfFTyWLBI9ib,spotify:track:1Rvl8qsKJurfFTyWLBI9ib,https://api.spotify.com/v1/tracks/1Rvl8qsKJurfFTyWLBI9ib,https://api.spotify.com/v1/audio-analysis/1Rvl8qsKJurfFTyWLBI9ib,249520.0,4.0
