"title","year","position","artist","pos_sentiment","neg_sentiment","neut_sentiment","compound_sentiment","f_k_grade","flesch_index","fog_index","num_syllables","difficult_words","num_dupes","num_words","num_lines","tags","id","popularity","duration_ms","explicit","artists","id_artists","release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"After The Rain",1991,56,"Nelson",0.115,0.118,0.768,0.2202,0.1,101.26,3.6,339.3,16,43,286,65,"","1mLzJfxZVjF9MVUb1AEs8C",42,217800,0,"['McCoy Tyner']","['2EsmKkHsXK0WMNGOtIhbxr']","2001-01-01",0.306,0.0425,8,-26.966,1,0.0412,0.981,0.92,0.27,0.0386,73.128,3
"Again",2001,9,"Lenny Kravitz",0.114,0.033,0.854,0.9799,0.9,99.23,4.4,377.1,16,38,306,50,"rock, soul","7GCwYL9fowR6Y33OBLCJEO",47,312258,1,"['Fetty Wap']","['6PXS4YHDkKvl1wkIl4V8DL']","2015-09-25",0.747,0.731,11,-4.423,0,0.055,0.00696,0,0.328,0.278,93.035,4
"Again",1993,74,"Janet Jackson",0.081,0.157,0.762,-0.9502,0.5,100.24,4,267.3,17,13,222,40,"electronic/dance, pop","7GCwYL9fowR6Y33OBLCJEO",47,312258,1,"['Fetty Wap']","['6PXS4YHDkKvl1wkIl4V8DL']","2015-09-25",0.747,0.731,11,-4.423,0,0.055,0.00696,0,0.328,0.278,93.035,4
"Again",1994,12,"Janet Jackson",0.081,0.157,0.762,-0.9502,0.5,100.24,4,267.3,17,13,222,40,"electronic/dance, pop","7GCwYL9fowR6Y33OBLCJEO",47,312258,1,"['Fetty Wap']","['6PXS4YHDkKvl1wkIl4V8DL']","2015-09-25",0.747,0.731,11,-4.423,0,0.055,0.00696,0,0.328,0.278,93.035,4
"Alejandro",2010,33,"Lady Gaga",0.111,0.034,0.856,0.9836,6,64.37,4.8,567.9,30,38,364,49,"electronic/dance, pop","3nbh5VQkQMLPuoHtpt6N5c",45,274213,0,"['Lady Gaga']","['1HY2Jd0NmPuamShAr6KMms']","2009-01-01",0.626,0.799,11,-6.612,0,0.046,0.000358,0.00155,0.36,0.369,98.992,4
"Alive And Kicking",1986,17,"Simple Minds",0.206,0.013,0.781,0.9982,-1,109.72,3.6,485.1,17,56,429,89,"electronic/dance, pop, rock","471SXWs7Ko4d2rkKOk7oPF",54,326000,0,"['Simple Minds']","['6hN9F0iuULZYWXppob22Aj']","1985",0.599,0.86,0,-6.614,1,0.032,0.0864,1.41e-05,0.149,0.554,103.238,4
"All About That Bass",2014,8,"Meghan Trainor",0.097,0.112,0.791,-0.3156,1.3,103.63,6,502.2,15,26,440,44,"pop","5jE48hhRu8E6zBDPRSkEq7",74,187920,1,"['Meghan Trainor']","['6JL8zeS1NmiOftqZTRgdTz']","2015-01-09",0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,4
"All About That Bass",2015,28,"Meghan Trainor",0.097,0.112,0.791,-0.3156,1.3,103.63,6,502.2,15,26,440,44,"pop","5jE48hhRu8E6zBDPRSkEq7",74,187920,1,"['Meghan Trainor']","['6JL8zeS1NmiOftqZTRgdTz']","2015-01-09",0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,4
"All Around The World",1990,21,"Lisa Stansfield",0.013,0.059,0.928,-0.9672,-0.3,107.69,4.4,483.3,17,49,448,66,"pop","4EIMR2OFoyi7aBhg9LtYW1",32,296173,0,"['Boyz II Men']","['6O74knDqdv3XaWtkII7Xjp']","1994-08-30",0.637,0.72,1,-8.114,1,0.104,0.0536,0,0.928,0.495,98.743,4
"All By Myself",1997,49,"Celine Dion",0.126,0.043,0.83,0.9369,2.5,84.34,3.6,215.1,19,20,151,35,"pop","0ZpnlFz0gvWg7v8qj8Pr7P",2,145493,0,"['Fats Domino']","['09C0xjtosNAIXP36wTnWxd']","1956-01-01",0.628,0.62,8,-12.867,1,0.142,0.684,0.000969,0.301,0.756,92.057,4
"All Eyes On You",2015,69,"Meek Mill",0.109,0.119,0.772,-0.594,0.1,106.67,4.8,612,50,22,542,77,"","6BhxxHAQm26CchLzP8XLin",40,501760,0,"['Klangkarussell']","['041iTeoMIwXMlShuQPIVKo']","2014-01-01",0.851,0.59,9,-9.206,0,0.0832,0.0371,0.661,0.107,0.175,111.981,4
"All Falls Down",2004,47,"Kanye West",0.107,0.057,0.836,0.9876,2.1,96.18,5.6,891.9,91,18,756,77,"hip-hop/rnb, religious","0UBLhedidy1DjSF4ncF5zL",38,199111,0,"['Alan Walker', 'Noah Cyrus', 'Digital Farm Animals', 'Juliander']","['7vk5e3vY1uw9plTHJAMwjN', '55fhWPvDiMpLnE4ZzNXZyW', '5fyDppLDl1juIu1BcUT5zh', '4gvkdged3Xw3ImXFm3jiay']","2017-12-22",0.658,0.678,1,-4.407,1,0.058,0.303,0,0.361,0.662,97.976,4
"All For Love",1994,8,"Bryan Adams, Rod Stewart and Sting",0.115,0.026,0.859,0.9876,-0.3,107.69,4.4,384.3,10,13,338,51,"pop, rock","5MwDwcEH09Hrt7hT0Z0PSR",41,355973,0,"['Hillsong UNITED']","['74cb3MG0x0BOnYNW1uXYnM']","2005-03-01",0.42,0.55,2,-8.369,1,0.0337,0.0225,8.13e-05,0.398,0.129,147.779,4
"All For You",1997,36,"Sister Hazel",0.036,0.073,0.891,-0.7949,-1,109.72,3.6,324,16,43,299,63,"","28IZUzBnFsBxyrgdsdlQPg",55,272387,0,"['Janet Jackson']","['4qwGe91Bz9K2T8jXTZ815W']","2010-08-31",0.774,0.881,2,-4.681,1,0.0917,0.0107,0.0431,0.289,0.775,113.511,3
"All For You",1998,76,"Sister Hazel",0.036,0.073,0.891,-0.7949,-1,109.72,3.6,324,16,43,299,63,"","28IZUzBnFsBxyrgdsdlQPg",55,272387,0,"['Janet Jackson']","['4qwGe91Bz9K2T8jXTZ815W']","2010-08-31",0.774,0.881,2,-4.681,1,0.0917,0.0107,0.0431,0.289,0.775,113.511,3
